,start,end
decay,2024-12-13 12:00:00,2024-12-13 21:00:00
intensification,2024-12-14 00:00:00,2024-12-14 21:00:00
mature,2024-12-15 00:00:00,2024-12-15 06:00:00
decay 2,2024-12-15 09:00:00,2024-12-16 03:00:00
residual,2024-12-16 06:00:00,2024-12-16 12:00:00
