time,lat,lon,vort850,lat_corrigida,lon_corrigida,vort850_corrigido
2024-12-13 12:00:00,-29.000000,-58.500000,-30.371839,-28.941307,-57.619183,-252.403084
2024-12-13 15:00:00,-28.750000,-55.500000,-27.500347,-28.595905,-55.648975,-507.508077
2024-12-13 18:00:00,-29.000000,-54.000000,-180.502638,-29.179764,-53.830318,-252.390813
2024-12-13 21:00:00,-30.000000,-53.250000,-9.382377,-29.285572,-53.466591,-171.033306
2024-12-14 00:00:00,-30.750000,-51.750000,-2.243251,-29.681355,-51.647934,-71.922973
2024-12-14 03:00:00,-30.750000,-51.500000,-9.769420,-30.468246,-52.072289,-120.648118
2024-12-14 06:00:00,-31.750000,-52.000000,0.000000,-32.509995,-52.587574,-166.959669
2024-12-14 09:00:00,-32.250000,-52.500000,-54.957940,-31.894444,-53.072548,-294.070443
2024-12-14 12:00:00,-31.750000,-52.250000,-13.484193,-32.612179,-51.708557,-233.425362
2024-12-14 15:00:00,-31.750000,-52.750000,-28.562015,-31.765682,-52.284462,-265.678222
2024-12-14 18:00:00,-31.500000,-52.000000,-40.646491,-30.520481,-51.284203,-342.239765
2024-12-14 21:00:00,-31.250000,-52.000000,-60.559818,-31.455917,-51.890423,-373.199885
2024-12-15 00:00:00,-30.750000,-51.500000,-38.641090,-31.274746,-51.526691,-524.351871
2024-12-15 03:00:00,-31.000000,-51.250000,-113.381501,-31.326542,-51.375137,-431.288954
2024-12-15 06:00:00,-30.750000,-51.000000,-60.415249,-30.650948,-51.405449,-342.170731
2024-12-15 09:00:00,-30.500000,-50.000000,-108.568369,-29.944347,-50.677986,-173.178141
2024-12-15 12:00:00,-30.250000,-49.500000,-120.930746,-29.655014,-50.193012,-272.836685
2024-12-15 15:00:00,-30.000000,-49.000000,-109.204408,-29.073856,-49.980835,-325.652427
2024-12-15 18:00:00,-30.000000,-48.000000,-67.907907,-29.812935,-48.404667,-132.675194
2024-12-15 21:00:00,-30.000000,-47.250000,-120.927298,-29.760323,-47.737827,-388.274917
2024-12-16 00:00:00,-29.750000,-46.250000,-41.564507,-29.575962,-45.767616,-403.070436
2024-12-16 03:00:00,-30.000000,-45.000000,-18.957997,-30.259018,-45.009846,-411.833025
2024-12-16 06:00:00,-30.500000,-43.750000,-82.597721,-30.963360,-43.585232,-345.612244
2024-12-16 09:00:00,-31.500000,-42.250000,-46.559618,-31.945896,-42.312172,-190.212231
2024-12-16 12:00:00,-32.750000,-41.250000,-42.266646,-33.450756,-41.099739,-330.580549
