time;Lat;Lon
2024-12-13-1200;-28.941307;-57.619183
2024-12-13-1500;-28.595905;-55.648975
2024-12-13-1800;-29.179764;-53.830318
2024-12-13-2100;-29.285572;-53.466591
2024-12-14-0000;-29.681355;-51.647934
2024-12-14-0300;-30.468246;-52.072289
2024-12-14-0600;-32.509995;-52.587574
2024-12-14-0900;-31.894444;-53.072548
2024-12-14-1200;-32.612179;-51.708557
2024-12-14-1500;-31.765682;-52.284462
2024-12-14-1800;-30.520481;-51.284203
2024-12-14-2100;-31.455917;-51.890423
2024-12-15-0000;-31.274746;-51.526691
2024-12-15-0300;-31.326542;-51.375137
2024-12-15-0600;-30.650948;-51.405449
2024-12-15-0900;-29.944347;-50.677986
2024-12-15-1200;-29.655014;-50.193012
2024-12-15-1500;-29.073856;-49.980835
2024-12-15-1800;-29.812935;-48.404667
2024-12-15-2100;-29.760323;-47.737827
2024-12-16-0000;-29.575962;-45.767616
