time;Lat;Lon;length;width;min_max_zeta_850;min_hgt_850;max_wind_850
2024-12-13-1200;-29.0;-57.75;5.0;5.0;-0.0002778597804808;1439.654052734375;17.96502113342285
2024-12-13-1500;-29.75;-57.75;5.0;5.0;-0.000265144243036;1450.8824462890625;15.937851905822754
2024-12-13-1800;-30.0;-58.0;5.0;5.0;-0.0002134974630147;1437.201171875;19.724586486816406
2024-12-13-2100;-29.5;-57.0;5.0;5.0;-0.00031406483656;1425.407470703125;18.327938079833984
2024-12-14-0000;-29.5;-57.0;5.0;5.0;-0.0001796897696798;1435.1011962890625;14.65976619720459
2024-12-14-0300;-30.0;-55.75;5.0;5.0;-0.0001707680045442;1442.5263671875;12.915632247924805
2024-12-14-0600;-30.75;-54.75;5.0;5.0;-0.0002608272659417;1426.196533203125;12.892889022827148
2024-12-14-0900;-31.5;-52.5;5.0;5.0;-0.0004620425600274;1416.6944580078125;17.817604064941406
2024-12-14-1200;-31.5;-52.25;5.0;5.0;-0.0005606738249044;1411.2490234375;21.33384704589844
2024-12-14-1500;-31.5;-52.0;5.0;5.0;-0.0002948663909983;1405.5899658203125;24.620832443237305
2024-12-14-1800;-31.75;-51.5;5.0;5.0;-0.0003744149621768;1401.107177734375;25.084287643432617
2024-12-14-2100;-32.25;-51.5;5.0;5.0;-0.0005592119178612;1393.7249755859375;25.83382797241211
2024-12-15-0000;-32.5;-51.75;5.0;5.0;-0.0005792229169222;1380.497802734375;27.55764579772949
2024-12-15-0300;-32.5;-51.75;5.0;5.0;-0.0005929635437153;1375.6346435546875;24.299434661865234
2024-12-15-0600;-32.25;-51.75;5.0;5.0;-0.0004351690584384;1360.53955078125;22.44618797302246
2024-12-15-0900;-31.75;-51.5;5.0;5.0;-0.0003762928539995;1365.3067626953125;21.515926361083984
2024-12-15-1200;-32.25;-51.75;5.0;5.0;-0.0004264340570332;1350.847900390625;27.508136749267575
2024-12-15-1500;-32.0;-51.75;5.0;5.0;-0.0004489330665769;1356.2452392578125;30.108379364013672
2024-12-15-1800;-31.5;-51.5;5.0;5.0;-0.0003933464080692;1359.300048828125;31.222211837768555
2024-12-15-2100;-31.0;-51.25;5.0;5.0;-0.0003747929853468;1365.5406494140625;27.88077735900879
2024-12-16-0000;-30.5;-50.5;5.0;5.0;-0.0003903993524641;1393.0115966796875;22.882583618164062
2024-12-16-0300;-30.25;-49.75;5.0;5.0;-0.0003015287427646;1400.09228515625;21.78706359863281
2024-12-16-0600;-30.0;-48.75;5.0;5.0;-0.0002263028287806;1391.36376953125;18.36812400817871
2024-12-16-0900;-30.0;-47.5;5.0;5.0;-0.0002470450236761;1396.8299560546875;17.08080291748047
2024-12-16-1200;-29.75;-46.5;5.0;5.0;-0.0002265510801234;1413.8671875;17.28268051147461
