time;min_max_zeta_850
2024-12-13 12:00:00;-30.371839
2024-12-13 15:00:00;-27.500347
2024-12-13 18:00:00;-180.502638
2024-12-13 21:00:00;-9.382377
2024-12-14 00:00:00;-2.243251
2024-12-14 03:00:00;-9.76942
2024-12-14 06:00:00;0.0
2024-12-14 09:00:00;-54.95794
2024-12-14 12:00:00;-13.484193
2024-12-14 15:00:00;-28.562015
2024-12-14 18:00:00;-40.646491
2024-12-14 21:00:00;-60.559818
2024-12-15 00:00:00;-38.64109
2024-12-15 03:00:00;-113.381501
2024-12-15 06:00:00;-60.415249
2024-12-15 09:00:00;-108.568369
2024-12-15 12:00:00;-120.930746
2024-12-15 15:00:00;-109.204408
2024-12-15 18:00:00;-67.907907
2024-12-15 21:00:00;-120.927298
2024-12-16 00:00:00;-41.564507
2024-12-16 03:00:00;-18.957997
2024-12-16 06:00:00;-82.597721
2024-12-16 09:00:00;-46.559618
2024-12-16 12:00:00;-42.266646
