phase,start,end
incipient,2024-12-13 12:00:00,2024-12-14 00:00:00
intensification,2024-12-14 03:00:00,2024-12-14 18:00:00
mature,2024-12-14 21:00:00,2024-12-15 03:00:00
decay,2024-12-15 06:00:00,2024-12-16 12:00:00
