,start,end
decay,2024-12-13 12:00:00,2024-12-14 12:00:00
intensification,2024-12-14 15:00:00,2024-12-15 00:00:00
decay 2,2024-12-15 03:00:00,2024-12-15 12:00:00
intensification 2,2024-12-15 15:00:00,2024-12-16 00:00:00
